City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,62.26,few clouds,-54.8,-68.3,Albatros Hotel
1,Panguna,PG,69.31,overcast clouds,-6.3164,155.4848,
4,Hilo,US,71.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Wad Madani,SD,84.81,clear sky,14.4012,33.5199,فندق يوغسلافيا
8,Ambon,ID,81.57,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
9,Jamestown,US,63.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Hit,IQ,56.28,scattered clouds,33.6416,42.8251,صالون زيرو
12,Cape Town,ZA,70.09,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
13,Portland,US,48.43,moderate rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
14,Cap Malheureux,MU,79.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
15,Albany,US,56.32,overcast clouds,42.6001,-73.9662,
17,Rikitea,PF,75.43,overcast clouds,-23.1203,-134.9692,People ThankYou
19,Ponta Delgada,PT,66.92,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
20,Carsamba,TR,58.28,clear sky,41.1989,36.7219,Carsamba Ogretmenevi
21,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
25,Hobart,AU,50.05,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
26,Koster,ZA,68.32,light rain,-25.863,26.8976,Klub Kranskuil
27,Mao,ES,48.76,few clouds,39.8885,4.2658,ARTIEM Capri
28,Sao Filipe,CV,75.81,broken clouds,14.8961,-24.4956,Hotel Xaguate
29,Atuona,PF,78.76,scattered clouds,-9.8,-139.0333,Villa Enata
30,Kawalu,ID,72.57,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
32,Diu,IN,75.13,clear sky,20.7141,70.9822,Hotel Relax Inn
33,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
34,Yambio,SS,83.07,broken clouds,4.5721,28.3955,Naivasha Hotel
35,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
36,Ribeira Grande,PT,66.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
40,Ahuimanu,US,74.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
43,Sabha,LY,57.67,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
44,Palora,EC,82.38,light rain,-1.7,-77.9333,Rancho grande
46,Hermanus,ZA,66.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
48,Bredasdorp,ZA,64.27,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
49,Arcata,US,51.37,overcast clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
51,Rocha,UY,76.64,few clouds,-34.4833,-54.3333,Hotel Arrarte
52,Murray Bridge,AU,61.84,scattered clouds,-35.1167,139.2667,Balcony On Sixth Lodge
53,Matata,NZ,70.59,light rain,-37.8833,176.75,Matata B&B
54,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
57,Chilca,PE,69.96,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
59,Port Lincoln,AU,63.32,clear sky,-34.7333,135.8667,Port Lincoln Hotel
60,Yaan,NG,85.6,broken clouds,7.3833,8.5667,
61,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Iranshahr,IR,59.34,clear sky,27.2025,60.6848,نیک سرشت
63,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
66,Riyadh,SA,59.14,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
67,Kavaratti,IN,81.52,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
68,Beloha,MG,79.0,overcast clouds,-25.1667,45.05,
69,Port Alfred,ZA,70.16,light rain,-33.5906,26.891,The Halyards Hotel
71,Lebu,CL,58.89,broken clouds,-37.6167,-73.65,Hostal Las Lilas
72,Busselton,AU,57.04,broken clouds,-33.65,115.3333,Observatory Guest House
73,Lorengau,PG,82.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
74,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
75,Conceicao Da Barra,BR,80.83,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
76,Vina Del Mar,CL,65.68,overcast clouds,-33.0246,-71.5518,Gala Hotel y Centro de Eventos
77,Bethel,US,58.1,mist,41.3712,-73.414,Courtyard by Marriott Danbury
79,Badarpur,IN,61.32,clear sky,24.9,92.6,Rejauls home
80,Carnarvon,AU,69.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
84,Rangpur,BD,64.11,clear sky,25.75,89.25,Hotel Shah Amanat
85,Mar Del Plata,AR,71.62,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
87,Pitimbu,BR,88.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
89,Nanfeng,CN,67.59,broken clouds,23.7434,111.7959,Nanfeng Hotel
90,Kasama,ZM,70.72,scattered clouds,-10.2129,31.1808,Kalebalika Cottages
91,Kasongo,CD,71.76,light rain,-4.45,26.6667,Guest Hôtel
92,Hithadhoo,MV,80.85,broken clouds,-0.6,73.0833,Scoop Guest House
93,East London,ZA,68.94,light rain,-33.0153,27.9116,Tu Casa
95,Faanui,PF,80.82,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
