City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ushuaia,AR,-54.8,-68.3,62.26,48,20,9.22,few clouds
1,Panguna,PG,-6.3164,155.4848,69.31,85,85,1.72,overcast clouds
2,Severo-Kurilsk,RU,50.6789,156.125,34.86,86,100,24.09,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,44.47,74,37,1.48,scattered clouds
4,Hilo,US,19.7297,-155.09,71.8,43,90,11.5,light rain
5,Gourdon,FR,44.75,1.5,38.25,94,97,1.28,overcast clouds
6,Wad Madani,SD,14.4012,33.5199,84.81,23,0,10.54,clear sky
7,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,75,8.05,broken clouds
8,Ambon,ID,-3.6954,128.1814,81.57,80,99,6.55,moderate rain
9,Jamestown,US,42.097,-79.2353,63.52,81,90,14.0,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,-3.59,88,75,17.27,broken clouds
11,Hit,IQ,33.6416,42.8251,56.28,39,25,5.61,scattered clouds
12,Cape Town,ZA,-33.9258,18.4232,70.09,62,20,3.0,few clouds
13,Portland,US,45.5234,-122.6762,48.43,92,90,4.0,moderate rain
14,Cap Malheureux,MU,-19.9842,57.6142,79.47,70,100,7.0,light rain
15,Albany,US,42.6001,-73.9662,56.32,93,100,1.01,overcast clouds
16,Tilichiki,RU,60.4667,166.1,-13.63,82,3,9.24,clear sky
17,Rikitea,PF,-23.1203,-134.9692,75.43,75,100,14.81,overcast clouds
18,Luderitz,NA,-26.6481,15.1594,63.99,78,0,14.32,clear sky
19,Ponta Delgada,PT,37.7333,-25.6667,66.92,77,40,14.97,scattered clouds
20,Carsamba,TR,41.1989,36.7219,58.28,93,0,1.14,clear sky
21,Nha Trang,VN,12.25,109.1833,77.0,85,94,6.85,overcast clouds
22,Nikolskoye,RU,59.7035,30.7861,24.69,93,100,10.02,overcast clouds
23,Hurricane,US,37.1753,-113.2899,41.34,26,14,3.31,few clouds
