City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,76.03,70,91,17.52,PF,2021-12-10 18:04:24
1,Saskylakh,71.9167,114.0833,-11.67,97,100,8.52,RU,2021-12-10 18:04:25
2,Port Elizabeth,-33.918,25.5701,74.1,92,36,4.88,ZA,2021-12-10 18:00:16
3,Sao Joao Da Barra,-21.6403,-41.0511,84.29,73,12,12.12,BR,2021-12-10 18:04:25
4,Lobito,-12.3481,13.5456,78.85,81,7,6.44,AO,2021-12-10 18:04:26
5,Moose Factory,51.2585,-80.6094,24.78,74,75,14.97,CA,2021-12-10 18:04:26
6,Hasaki,35.7333,140.8333,36.0,72,20,9.46,JP,2021-12-10 18:04:26
7,Mataura,-46.1927,168.8643,55.47,94,99,1.7,NZ,2021-12-10 18:04:27
8,Barrow,71.2906,-156.7887,-2.18,84,90,5.75,US,2021-12-10 18:04:27
9,Jamestown,42.097,-79.2353,51.39,70,1,9.22,US,2021-12-10 18:04:27
10,Bluff,-46.6,168.3333,55.8,80,100,9.1,NZ,2021-12-10 18:04:28
11,Sorland,67.667,12.6934,37.26,61,100,5.95,NO,2021-12-10 18:04:28
12,Padang,-0.9492,100.3543,78.85,89,97,3.53,ID,2021-12-10 18:00:29
13,Punta Arenas,-53.15,-70.9167,60.82,51,0,13.8,CL,2021-12-10 18:04:09
14,Albany,42.6001,-73.9662,44.94,64,96,5.95,US,2021-12-10 18:00:11
15,Norman Wells,65.282,-126.8329,-1.03,94,55,9.55,CA,2021-12-10 18:04:29
16,Severo-Kurilsk,50.6789,156.125,32.31,83,11,2.55,RU,2021-12-10 18:04:29
17,Lamu,-2.2717,40.902,82.62,80,22,10.63,KE,2021-12-10 18:04:29
18,Fairbanks,64.8378,-147.7164,12.6,84,100,1.01,US,2021-12-10 18:00:02
19,Vaini,-21.2,-175.2,78.19,76,11,15.79,TO,2021-12-10 18:04:30
20,Victoria,22.2855,114.1577,70.25,76,59,11.01,HK,2021-12-10 18:00:02
21,Ordynskoye,54.3656,81.8994,11.32,92,97,7.16,RU,2021-12-10 18:04:30
22,Hilo,19.7297,-155.09,73.8,43,75,6.91,US,2021-12-10 18:04:31
23,Granada,37.25,-3.25,48.87,86,100,7.4,ES,2021-12-10 18:04:31
24,Araceli,10.5529,119.9913,81.05,80,99,22.97,PH,2021-12-10 18:04:31
25,Tuktoyaktuk,69.4541,-133.0374,-7.44,98,63,8.03,CA,2021-12-10 18:04:32
26,Cherskiy,68.75,161.3,-38.96,96,100,5.01,RU,2021-12-10 18:04:32
27,Ushuaia,-54.8,-68.3,54.61,63,100,4.81,AR,2021-12-10 18:03:53
28,Qaanaaq,77.484,-69.3632,-0.06,76,95,6.22,GL,2021-12-10 18:04:32
29,Yemtsa,63.0734,40.3329,4.62,96,44,5.99,RU,2021-12-10 18:04:33
30,Butaritari,3.0707,172.7902,82.22,75,90,12.15,KI,2021-12-10 18:04:33
31,Mogadishu,2.0371,45.3438,79.03,77,74,20.24,SO,2021-12-10 18:04:33
32,Pangkalanbuun,-2.6833,111.6167,74.98,95,100,2.28,ID,2021-12-10 18:04:34
